h,coef,se,n_obs,F_stat,lo90,hi90
0,0.028093824763331554,0.045558188870528794,382,127.8852352281419,-0.04684939592868831,0.10303704545535142
1,0.0016783666809203623,0.06339514867703466,381,128.03486431434948,-0.10260665289280166,0.10596338625464238
2,-0.03591497889034656,0.09142582354659803,380,128.016682479996,-0.18631045862450032,0.1144805008438072
3,-0.06668652095365246,0.11538162395905871,379,128.0787734981614,-0.256489292366304,0.12311625045899913
4,-0.09319151343342469,0.12399104348685952,378,128.83041696881787,-0.29715677996930856,0.11077375310245921
5,-0.16248437246362357,0.1340413465654182,377,128.82869952980673,-0.3829823875637365,0.058013642636489365
6,-0.13133108300887386,0.1343353625676415,376,129.23648527196852,-0.35231275443264415,0.08965058841489643
7,-0.1415619918364115,0.1533992670782718,375,129.12141610153137,-0.39390378618016864,0.11077980250734565
8,-0.21522599476877247,0.1825524647794355,374,128.73712476702354,-0.515524799330944,0.08507280979339898
9,-0.22186477736151744,0.17723472704791496,373,128.32021764719045,-0.5134159033553376,0.06968634863230266
10,-0.21747819831560378,0.17373058030020339,372,128.204754466246,-0.5032650029094383,0.06830860627823082
11,-0.25360536772745945,0.16232042883223466,371,127.45894575819119,-0.5206224731564855,0.013411737701566562
12,-0.24555009824172203,0.16408128814617728,370,123.76376209285452,-0.5154638172421837,0.0243636207587396
13,-0.27811174966092267,0.17947389822241178,369,122.92075926214677,-0.5733463122367901,0.01712281291494472
14,-0.2827850843688964,0.19299331887516383,368,122.51424962072326,-0.6002590939185408,0.03468892518074812
15,-0.28813096348865486,0.21274118527117689,367,122.483405199697,-0.6380902132597408,0.061828286282431144
16,-0.2465817659915217,0.19627340261114415,366,122.42224090045485,-0.5694515132868538,0.07628798130381043
17,-0.20769759677540378,0.19639886825345582,365,121.74219096470252,-0.5307737350523386,0.11537854150153104
18,-0.274318600659484,0.19888601439339307,364,121.36315240824611,-0.6014860943366156,0.052848893017647613
19,-0.28393220165683886,0.20073137255767073,363,121.38015809018599,-0.6141353095142073,0.04627090620052948
20,-0.2673392897095823,0.18513235265566447,362,121.30434615883712,-0.5718820098281503,0.037203430408985716
21,-0.22201744889599695,0.17165793247716657,361,121.62372860153761,-0.504394747820936,0.060359850028942064
22,-0.1168563161163263,0.16010129116485844,360,121.33962139247305,-0.38022294008251845,0.14651030784986585
23,-0.10335112444244032,0.1935210183793702,359,119.74024991736428,-0.4216931996765043,0.21499095079162367
24,-0.17535065333296984,0.22333948488307642,358,119.73334476098024,-0.5427441059656306,0.19204279929969087
25,-0.16967744851376665,0.1917522410078887,357,120.3861159428322,-0.48510988497174357,0.14575498794421027
26,-0.11806399854361871,0.1803029728854988,356,117.96472867881901,-0.41466238894026425,0.17853439185302683
27,-0.04652717316278654,0.1755856440621531,355,118.28341954443411,-0.3353655576450284,0.24231121131945532
28,0.0492068259157179,0.19555458918398655,354,111.95899959986569,-0.27248047329194,0.3708941251233758
29,0.1125933864306603,0.2414499069745139,353,109.99295176621902,-0.28459171054241506,0.5097784834037357
30,0.08504874561938891,0.23130314771729554,352,109.88698097069357,-0.29544493237556224,0.46554242361434006
31,0.13926929470326854,0.2290647630375784,351,109.92662734880822,-0.23754224049354788,0.516080829900085
32,0.10752241920022243,0.20642895213072965,350,108.68195804948978,-0.23205320705482785,0.4470980454552727
33,0.06838638653778162,0.19785533410221368,349,108.66316593978458,-0.2570856380603599,0.3938584111359231
34,0.03696700232117678,0.19641423517373774,348,108.60027215967192,-0.2861344145396218,0.36006841918197535
35,0.1121907779429705,0.21349174998182144,347,108.6015283972774,-0.23900315077712575,0.46338470666306675
36,0.1631211603108511,0.25568315894624893,346,108.10475820371244,-0.2574776361557284,0.5837199567774306
37,0.16306539820320154,0.249844393581615,345,108.13979917084384,-0.24792862923855513,0.5740594256449583
38,0.13617612204990337,0.25298731692967574,344,108.2350329652672,-0.2799880142994132,0.55234025839922
39,0.1179267437265139,0.27439667109795607,343,108.19902942793559,-0.33345578022962385,0.5693092676826517
40,0.12934782751568719,0.2980495475934799,342,108.116156256596,-0.36094367827558727,0.6196393333069616
41,0.25089547269709556,0.2955628624078916,341,108.51316747918484,-0.2353054359638861,0.7370963813580772
42,0.3451044225593307,0.27370392536443405,340,107.57390938413809,-0.10513853466516332,0.7953473797838247
43,0.3493714771965415,0.22293149360407002,339,107.54816094435937,-0.017350829782153687,0.7160937841752366
44,0.3090600277458009,0.20788529042673962,338,107.53799840681236,-0.03291127500618579,0.6510313304977875
45,0.2967954715392125,0.17495995436053438,337,107.5283259597163,0.0089863466161334,0.5846045964622916
46,0.2798953445908978,0.164466280662896,336,114.00722664014329,0.009348312900433864,0.5504423762813617
47,0.401683298477991,0.1664886143490233,335,115.91731493381765,0.1278095278738477,0.6755570690821343
48,0.4148660570090499,0.18710205461034665,334,116.56213309509369,0.10708317717502963,0.7226489368430702
