h,diff,se_diff,W,p_value
0,-0.003122812215676521,0.057105710748582415,0.0029904232228619198,0.9563896091557864
1,-0.0056863293803536274,0.09177415759309539,0.0038390450781446545,0.950594663790643
2,-0.06963850707832656,0.11451440455628832,0.3698100127771466,0.5431078456586076
3,-0.13063583813773488,0.1258385529586533,1.0776984065772746,0.29921300926993766
4,-0.1792146349612263,0.1278051241184771,1.9663028608170177,0.1608408398678003
5,-0.17454385196812522,0.13772366531749938,1.6061716924993832,0.2050307801610518
6,-0.19563689432655748,0.14032186361826415,1.943796661853247,0.16325689079515582
7,-0.1384339701215434,0.1441584700487164,0.9221573226628283,0.3369091666392309
8,-0.21441906711768144,0.16553248243282295,1.6778778783842125,0.19520667134686465
9,-0.15422741587147976,0.16829217803130994,0.8398375754356753,0.35944322845384635
10,-0.14831248699785016,0.16664372559400364,0.7920954199971149,0.3734672676816039
11,-0.18592207536993705,0.1748710584252196,1.130384099370966,0.2876934246364121
12,-0.11075632994209358,0.168149018606096,0.433858828196878,0.510101529336658
13,-0.09522922839661252,0.1696644897504518,0.3150348651682419,0.5746069001746027
14,-0.050735212820311015,0.17543899190641782,0.08363089154310584,0.7724359370333584
15,-0.031953661822538254,0.18307749043002033,0.030462908633964645,0.861444030902849
16,-0.029082448579278358,0.19334785385896586,0.022624720677447387,0.8804370805512235
17,-0.06282250769467801,0.19646865920241302,0.10224544601705594,0.74915147137533
18,-0.07310888607678928,0.18379841893071355,0.1582183282100122,0.6908021837513749
19,-0.04090724514354793,0.17083886751225416,0.05733596139759674,0.8107572152448115
20,-0.0903152408825029,0.1780757599009016,0.2572245858242993,0.6120333452598403
21,-0.08428781802920615,0.19229315278419823,0.19213300822464413,0.6611472311343266
22,-0.17401676305466413,0.19231444992565308,0.8187632435429005,0.3655420126344642
23,-0.21776323402784545,0.19027825886697394,1.3097571495022022,0.25243862946661033
24,-0.294816238080454,0.1881592332865848,2.4550013254647367,0.11715106996515257
25,-0.3235688861175832,0.22674280380696313,2.036415914877456,0.15357111688429215
26,-0.22513767499219492,0.1827331264943332,1.5179650899277262,0.21792769570234016
27,-0.24562139901403757,0.1712185996750232,2.0579296280556787,0.15141577627787328
28,-0.09256139365260108,0.18318767237461364,0.2553096798539767,0.613360936160358
29,0.07562063233088935,0.21157674718016914,0.12774524314796246,0.7207813993413881
30,0.11288428071907508,0.22349837730564834,0.2551045422665854,0.6135035269302999
31,0.14222909073414694,0.26458890692536974,0.28895725498026,0.5908895218787316
32,0.12108451337305771,0.2168820503441785,0.31169510420233515,0.5766418597630404
33,-0.003004651636437622,0.19891554610697457,0.0002281659324375757,0.9879482823984023
34,-0.185889944722228,0.20487786300601113,0.8232310177917099,0.36423718268248273
35,-0.16409070500577166,0.20059566192057804,0.6691521664865369,0.413347356599166
36,-0.08463236091212278,0.2023857475814796,0.17486909468111866,0.6758202531801425
37,-0.08063654977309632,0.1974751205859059,0.16673973193783434,0.6830257157661224
38,-0.09556796649476096,0.19347777918461728,0.24398464928309363,0.6213428879573148
39,-0.08317337481259374,0.21068676959335927,0.15584544691292895,0.693010679468212
40,-0.057823685233591694,0.21736839229370283,0.07076503846563051,0.7902261249236779
41,-0.02249727443445828,0.21932068442995742,0.010522056445235996,0.9182986378419221
42,-0.08328605527032186,0.21078457447448645,0.1561230168620534,0.6927513387767175
43,-0.1343566945237655,0.20738483476036448,0.4197248005814108,0.5170743953612784
44,-0.19802270880193557,0.19019230111655444,1.0840370562347883,0.2977961912304061
45,-0.22141769175459336,0.18178082224370526,1.483639922290489,0.22320588995173785
46,-0.17846347072827753,0.17493452869416898,1.0407528074800938,0.3076464534345127
47,-0.09863507991043163,0.18324627728412954,0.28972934221990687,0.5903940263434425
48,0.00014685967450845522,0.19892678153740934,5.450277442509259e-07,0.9994109538426897
