lwip,lgop,lwti,lpri,pri,date,u_wip,u_gop,pri_jp,pri_aus,pri_cds,pri_fra,pri_ger,pri_india,pri_indo,pri_pak,pri_rus,pri_vn,pri_uk,Period,lpri_jp,dlpri_jp,lpri_aus,dlpri_aus,lpri_cds,dlpri_cds,lpri_fra,dlpri_fra,lpri_ger,dlpri_ger,lpri_india,dlpri_india,lpri_indo,dlpri_indo,lpri_pak,dlpri_pak,lpri_rus,dlpri_rus,lpri_vn,dlpri_vn,lpri_uk,dlpri_uk,dlpri,llwip,llgop,l2lwip,l2lgop,d2pri,d2pri_jp
4.135465552038807,4.109584311746399,2.8768162433604516,-0.5688248987322411,-0.5999999999999927,10958,2.890270779,-0.340788195529255,3.399999999999997,1.7000000000000002,-6.299999999999997,0.9000000000000008,2.700000000000002,-2.499999999999997,-3.7000000000000006,6.299999999999995,0.30000000000000004,-6.800000000000003,2.0999999999999996,360.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9878743886947632,0.0,0.6418538689613342,0.0,1.3083328008651733,0.0,-1.2527629137039185,0.0,-1.5475624799728394,0.0,1.9878743886947632,0.0,0.2623642683029175,0.0,-2.054123640060425,0.0,1.1314021348953247,0.0,0.0,4.139441013336182,4.118795871734619,4.131744861602783,4.124588489532471,-0.10000000149011612,0.0
4.139524248198193,4.113802048264543,2.8490794560394908,-0.7326682560454053,-0.7999999999999927,10989,0.997852803,1.76621221018541,3.399999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.499999999999997,-3.7000000000000006,6.299999999999995,0.30000000000000004,-6.800000000000003,2.0999999999999996,361.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9878743886947632,0.0,0.6931471824645996,0.05129331350326538,1.3083328008651733,0.0,-1.2527629137039185,0.0,-1.5475624799728394,0.0,1.9878743886947632,0.0,0.2623642683029175,0.0,-2.054123640060425,0.0,1.1314021348953247,0.0,-0.16384336352348328,4.135465621948242,4.109584331512451,4.139441013336182,4.118795871734619,-0.20000000298023224,0.0
4.143738195061332,4.128462905396807,2.7648802389313962,-0.8088669356527773,-0.8999999999999927,11017,-6.8534674,1.59064053334787,3.399999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.399999999999997,-3.7000000000000006,6.299999999999995,0.6000000000000001,-6.800000000000003,2.0999999999999996,362.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9878743886947632,0.0,0.6931471824645996,0.0,1.3083328008651733,0.0,-1.2237753868103027,0.028987526893615723,-1.5475624799728394,0.0,1.9878743886947632,0.0,0.4700036346912384,0.20763936638832092,-2.054123640060425,0.0,1.1314021348953247,0.0,-0.07619868218898773,4.139524459838867,4.113801956176758,4.135465621948242,4.109584331512451,0.10000000149011612,0.0
4.133442190877719,4.123999363091875,2.6683266462620705,-0.8088669356527773,-0.8999999999999927,11048,-4.485259791,-0.238662691053113,3.399999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-3.7000000000000006,6.299999999999995,1.1,-6.800000000000003,2.0999999999999996,363.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9878743886947632,0.0,0.6931471824645996,0.0,1.3083328008651733,0.0,-1.1631507873535156,0.06062459945678711,-1.5475624799728394,0.0,1.9878743886947632,0.0,0.7419373393058777,0.2719337046146393,-2.054123640060425,0.0,1.1314021348953247,0.0,0.0,4.143738269805908,4.128462791442871,4.139524459838867,4.113801956176758,0.10000000149011612,0.0
4.144599843059943,4.114774607029828,2.6480353855701897,-0.8088669356527773,-0.8999999999999927,11078,-3.758462253,0.730446640101484,3.399999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-3.7000000000000006,6.299999999999995,1.1,-6.800000000000003,2.0999999999999996,364.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9878743886947632,0.0,0.6931471824645996,0.0,1.3083328008651733,0.0,-1.1631507873535156,0.0,-1.5475624799728394,0.0,1.9878743886947632,0.0,0.7419373393058777,0.0,-2.054123640060425,0.0,1.1314021348953247,0.0,0.0,4.133442401885986,4.12399959564209,4.143738269805908,4.128462791442871,0.0,0.0
4.148147853929191,4.101144225359306,2.5640014339353754,-0.8088669356527773,-0.8999999999999927,11109,-0.767166099,-0.346604302446064,3.599999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-3.7000000000000006,6.299999999999995,1.2000000000000002,-6.800000000000003,2.0999999999999996,365.0,1.5260562896728516,0.04445171356201172,0.9932518005371094,0.0,-1.9878743886947632,0.0,0.6931471824645996,0.0,1.3083328008651733,0.0,-1.1631507873535156,0.0,-1.5475624799728394,0.0,1.9878743886947632,0.0,0.7884573340415955,0.04651999473571777,-2.054123640060425,0.0,1.1314021348953247,0.0,0.0,4.144599914550781,4.114774703979492,4.133442401885986,4.12399959564209,0.0,0.20000000298023224
4.147998434917729,4.10287147125,2.6589994665888073,-0.8088669356527773,-0.8999999999999927,11139,7.740614638,-0.89974187617403,3.599999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-1.3000000000000007,6.299999999999995,1.4000000000000001,-6.800000000000003,2.0999999999999996,366.0,1.5260562896728516,0.0,0.9932518005371094,0.0,-1.9878743886947632,0.0,0.6931471824645996,0.0,1.3083328008651733,0.0,-1.1631507873535156,0.0,-0.832909107208252,0.7146533727645874,1.9878743886947632,0.0,0.8754687309265137,0.08701139688491821,-2.054123640060425,0.0,1.1314021348953247,0.0,0.0,4.148148059844971,4.101144313812256,4.144599914550781,4.114774703979492,0.0,-0.20000000298023224
4.153454625909485,4.042448138620265,3.027663800899006,-0.8088669356527773,-0.8999999999999927,11170,6.449692647,-7.92903356128256,3.599999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-0.7000000000000007,6.299999999999995,1.4000000000000001,-6.800000000000003,2.0999999999999996,367.0,1.5260562896728516,0.0,0.9932518005371094,0.0,-1.9878743886947632,0.0,0.6931471824645996,0.0,1.3083328008651733,0.0,-1.1631507873535156,0.0,-0.5306282639503479,0.30228084325790405,1.9878743886947632,0.0,0.8754687309265137,0.0,-2.054123640060425,0.0,1.1314021348953247,0.0,0.0,4.147998332977295,4.102871417999268,4.148148059844971,4.101144313812256,0.0,0.0
4.155459730367675,4.086211175725372,3.235699546820326,-0.8088669356527773,-0.8999999999999927,11201,9.528901568,2.06353345534928,3.299999999999997,1.7000000000000002,-6.099999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-0.7000000000000007,6.299999999999995,1.4000000000000001,-5.5000000000000036,2.0999999999999996,368.0,1.4586150646209717,-0.06744122505187988,0.9932518005371094,0.0,-1.9600948095321655,0.027779579162597656,0.6931471824645996,0.0,1.3083328008651733,0.0,-1.1631507873535156,0.0,-0.5306282639503479,0.0,1.9878743886947632,0.0,0.8754687309265137,0.0,-1.8718022108078003,0.1823214292526245,1.1314021348953247,0.0,0.0,4.153454780578613,4.042448043823242,4.147998332977295,4.102871417999268,0.0,-0.30000001192092896
4.1547875204798865,4.0919120727837175,3.293167973677838,-0.8088669356527773,-0.8999999999999927,11231,-0.974249357,-0.977700161262485,3.3999999999999972,1.7000000000000002,-6.099999999999997,1.0000000000000009,2.5000000000000018,-2.1999999999999966,-0.7000000000000007,6.299999999999995,1.6,-5.5000000000000036,2.0999999999999996,369.0,1.4816045761108398,0.022989511489868164,0.9932518005371094,0.0,-1.9600948095321655,0.0,0.6931471824645996,0.0,1.2527629137039185,-0.05556988716125488,-1.1631507873535156,0.0,-0.5306282639503479,0.0,1.9878743886947632,0.0,0.9555114507675171,0.08004271984100342,-1.8718022108078003,0.0,1.1314021348953247,0.0,0.0,4.155459880828857,4.086211204528809,4.153454780578613,4.042448043823242,0.0,0.4000000059604645
4.149967993022577,4.1054887181362645,3.184638932108805,-0.7326682560454053,-0.7999999999999927,11262,0.305731877,0.637046214822562,3.3999999999999972,1.7000000000000002,-6.099999999999997,1.300000000000001,2.5000000000000018,-2.1999999999999966,-0.40000000000000074,6.299999999999995,1.6,-5.5000000000000036,2.0999999999999996,370.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9600948095321655,0.0,0.832909107208252,0.13976192474365234,1.2527629137039185,0.0,-1.1631507873535156,0.0,-0.3364722430706024,0.19415602087974548,1.9878743886947632,0.0,0.9555114507675171,0.0,-1.8718022108078003,0.0,1.1314021348953247,0.0,0.07619868218898773,4.154787540435791,4.091912269592285,4.155459880828857,4.086211204528809,0.10000000149011612,-0.10000000149011612
4.147896229564655,4.108969724580772,3.014080057391301,-0.65266656608235,-0.6999999999999927,11292,-4.446716592,0.915094960841902,3.3999999999999972,1.7000000000000002,-6.099999999999997,1.400000000000001,2.5000000000000018,-2.1999999999999966,-0.40000000000000074,6.299999999999995,1.7000000000000002,-5.5000000000000036,2.0999999999999996,371.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9600948095321655,0.0,0.8754687309265137,0.04255962371826172,1.2527629137039185,0.0,-1.1631507873535156,0.0,-0.3364722430706024,0.0,1.9878743886947632,0.0,0.9932518005371094,0.037740349769592285,-1.8718022108078003,0.0,1.1314021348953247,0.0,0.08000168949365616,4.149968147277832,4.1054887771606445,4.154787540435791,4.091912269592285,0.0,0.0
4.149920854797607,4.104909407193083,2.9193545811678483,-0.65266656608235,-0.6999999999999927,11323,-3.163827683,-0.103912625248462,3.3999999999999972,1.7000000000000002,-6.099999999999997,1.400000000000001,2.5000000000000018,-2.1999999999999966,-0.40000000000000074,6.299999999999995,1.7000000000000002,-5.5000000000000036,2.0999999999999996,372.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9600948095321655,0.0,0.8754687309265137,0.0,1.2527629137039185,0.0,-1.1631507873535156,0.0,-0.3364722430706024,0.0,1.9878743886947632,0.0,0.9932518005371094,0.0,-1.8718022108078003,0.0,1.1314021348953247,0.0,0.0,4.1478962898254395,4.108969688415527,4.149968147277832,4.1054887771606445,-0.10000000149011612,0.0
4.14287643906998,4.099772636866589,2.7229241959568555,-0.65266656608235,-0.6999999999999927,11354,-6.378940057,0.404843647046532,3.3999999999999972,1.7000000000000002,-6.099999999999997,1.400000000000001,2.5000000000000018,-2.0999999999999965,-0.40000000000000074,6.299999999999995,1.7000000000000002,-5.5000000000000036,2.0999999999999996,373.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9600948095321655,0.0,0.8754687309265137,0.0,1.2527629137039185,0.0,-1.1314021348953247,0.03174865245819092,-0.3364722430706024,0.0,1.9878743886947632,0.0,0.9932518005371094,0.0,-1.8718022108078003,0.0,1.1314021348953247,0.0,0.0,4.14992094039917,4.104909420013428,4.1478962898254395,4.108969688415527,0.0,0.0
4.138894160586568,4.103992718712323,2.690085646126911,-0.65266656608235,-0.6999999999999927,11382,0.879508613,0.433316799780012,3.3999999999999972,1.7000000000000002,-6.099999999999997,1.500000000000001,2.5000000000000018,-2.0999999999999965,-0.40000000000000074,6.299999999999995,1.9000000000000001,-5.5000000000000036,2.0999999999999996,374.0,1.4816045761108398,0.0,0.9932518005371094,0.0,-1.9600948095321655,0.0,0.9162907600402832,0.04082202911376953,1.2527629137039185,0.0,-1.1314021348953247,0.0,-0.3364722430706024,0.0,1.9878743886947632,0.0,1.0647107362747192,0.07145893573760986,-1.8718022108078003,0.0,1.1314021348953247,0.0,0.0,4.142876625061035,4.0997724533081055,4.14992094039917,4.104909420013428,0.0,0.0
4.146136407312595,4.080639880605522,2.735213086047495,-0.65266656608235,-0.6999999999999927,11413,4.235188862,-1.30754216737691,3.3999999999999972,1.8000000000000003,-5.999999999999997,1.500000000000001,2.600000000000002,-2.0999999999999965,-0.40000000000000074,6.299999999999995,1.9000000000000001,-5.5000000000000036,2.0999999999999996,375.0,1.4816045761108398,0.0,1.0296194553375244,0.03636765480041504,-1.945910096168518,0.014184713363647461,0.9162907600402832,0.0,1.2809338569641113,0.02817094326019287,-1.1314021348953247,0.0,-0.3364722430706024,0.0,1.9878743886947632,0.0,1.0647107362747192,0.0,-1.8718022108078003,0.0,1.1314021348953247,0.0,0.0,4.138894081115723,4.103992938995361,4.142876625061035,4.0997724533081055,0.0,0.0
